id_0,iso,name_0,id_1,name_1,id_2,name_2,id_3,name_3,type_3,engtype_3,nl_name_3,varname_3
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"94",Lâm San,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"95",Long Giao,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"96",Nhân NghÜa,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"97",Sông Nh¹n,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"98",Sông Ray,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"99",Thõa Đức,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"100",Xuân Đông,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"101",Xuân Bảo,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"102",Xuân Mü,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"103",Xuân Quế,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"104",Xuân Tây,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"105",Bàu Sen,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"106",Bàu Trâm,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"107",Bình Lộc,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"108",Bảo Quang,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"109",Bảo Vinh,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"110",Hàng Gòn,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"111",Phú Bình,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"11",Long Khánh,"112",Suối Tre,Commune,Commune,,
