id_0,iso,name_0,id_1,name_1,id_2,name_2,type_2,engtype_2,nl_name_2,varname_2
"250",VNM,Vietnam,"10",Bình Dương,"90",Di An,Huyện,District,,
"250",VNM,Vietnam,"10",Bình Dương,"91",Phú Giáo,Huyện,District,,Phu Giao
"250",VNM,Vietnam,"10",Bình Dương,"92",Tân Uyên,Huyện,District,,Tan Uyen
"250",VNM,Vietnam,"10",Bình Dương,"93",Thủ Dầu Một,Huyện,District,,Thu Dau Mot
"250",VNM,Vietnam,"10",Bình Dương,"94",Thuận An,Huyện,District,,Thuan An
"250",VNM,Vietnam,"11",Bình Phước,"95",Đồng Phù,Huyện,District,,Dong Phu
"250",VNM,Vietnam,"11",Bình Phước,"96",Bình Long,Huyện,District,,Binh Long
"250",VNM,Vietnam,"11",Bình Phước,"97",Bù Đăng,Huyện,District,,Bu Dang
"250",VNM,Vietnam,"11",Bình Phước,"98",Bu Dop,Huyện,District,,
"250",VNM,Vietnam,"11",Bình Phước,"99",Chơn Thành,Huyện,District,,Chon Thanh
"250",VNM,Vietnam,"11",Bình Phước,"100",Dong Xoai,Thi xa,Township,,
"250",VNM,Vietnam,"11",Bình Phước,"101",Lộc Ninh,Huyện,District,,Loc Ninh
"250",VNM,Vietnam,"11",Bình Phước,"102",Phước Long,Huyện,District,,Phuoc Long
"250",VNM,Vietnam,"12",Bình Thuận,"103",Đức Linh,Huyện,District,,Duc Linh
"250",VNM,Vietnam,"12",Bình Thuận,"104",Bắc Bình,Huyện,District,,Bac Binh
"250",VNM,Vietnam,"12",Bình Thuận,"105",Hàm Tân,Huyện,District,,Ham Tan
"250",VNM,Vietnam,"12",Bình Thuận,"106",Hàm Thuận Bắc,Huyện,District,,Ham Thuan Bac
"250",VNM,Vietnam,"12",Bình Thuận,"107",Hàm Thuận Nam,Huyện,District,,Ham Thuan Nam
"250",VNM,Vietnam,"12",Bình Thuận,"108",La Gi,Huyện,District,,
"250",VNM,Vietnam,"12",Bình Thuận,"109",Phan Thiết,Than Pho,City,,Phan Thiet
"250",VNM,Vietnam,"12",Bình Thuận,"110",Phú Quý,Huyện,Island,,Phu Qui|Phu Quy
"250",VNM,Vietnam,"12",Bình Thuận,"111",Tanh Linh,Huyện,District,,
"250",VNM,Vietnam,"12",Bình Thuận,"112",Tuy Phong,Huyện,District,,
"250",VNM,Vietnam,"13",Bạc Liêu,"113",Đông Hải,Huyện,District,,Dong Hai
"250",VNM,Vietnam,"13",Bạc Liêu,"114",Bạc Liêu,Thi xa,Township,,Bac Lieu
"250",VNM,Vietnam,"13",Bạc Liêu,"115",Giá Rai,Huyện,District,,Gia Rai
"250",VNM,Vietnam,"13",Bạc Liêu,"116",Hồng Dân,Huyện,District,,Hong Dan
"250",VNM,Vietnam,"13",Bạc Liêu,"117",Hòa Bình,Thi xa,Township,,Hoa Binh
"250",VNM,Vietnam,"13",Bạc Liêu,"118",Phước Long,Huyện,District,,Phuoc Long
